time_sec,ECG_I,ECG_I_filtered
0.0,0.17,-0.015
0.002,0.18,-0.015
0.004,0.175,-0.015
0.006,0.18,-0.015
0.008,0.18,-0.015
0.01,0.18,-0.015
0.012,0.175,-0.01
0.014,0.185,-0.01
0.016,0.18,-0.005
0.018,0.175,0.0
0.02,0.19,0.0
0.022,0.19,0.0
0.024,0.18,0.0
0.026,0.175,0.0
0.028,0.185,-0.005
0.03,0.175,-0.01
0.032,0.19,-0.015
0.034,0.155,-0.02
0.036,0.17,-0.025
0.038,0.175,-0.025
0.04,0.175,-0.025
0.042,0.17,-0.025
0.044,0.165,-0.025
0.046,0.16,-0.025
0.048,0.155,-0.02
0.05,0.155,-0.02
0.052,0.17,-0.015
0.054,0.165,-0.015
0.056,0.16,-0.02
0.058,0.17,-0.02
0.06,0.175,-0.02
0.062,0.155,-0.02
0.064,0.175,-0.02
0.066,0.165,-0.015
0.068,0.165,-0.015
0.07,0.16,-0.015
0.072,0.165,-0.01
0.074,0.165,-0.01
0.076,0.17,-0.015
0.078,0.155,-0.015
0.08,0.17,-0.02
0.082,0.165,-0.02
0.084,0.17,-0.02
0.086,0.175,-0.02
0.088,0.18,-0.02
0.09,0.175,-0.015
0.092,0.18,-0.015
0.094,0.165,-0.01
0.096,0.16,-0.005
0.098,0.16,-0.005
0.1,0.17,-0.01
0.102,0.16,-0.01
0.104,0.165,-0.02
0.106,0.15,-0.025
0.108,0.155,-0.03
0.11,0.175,-0.03
0.112,0.165,-0.035
0.114,0.165,-0.03
0.116,0.165,-0.025
0.118,0.165,-0.02
0.12,0.16,-0.01
0.122,0.17,-0.005
0.124,0.165,0.0
0.126,0.16,0.0
0.128,0.165,0.0
0.13,0.16,-0.005
0.132,0.16,-0.005
0.134,0.17,-0.01
0.136,0.175,-0.015
0.138,0.165,-0.015
0.14,0.17,-0.015
0.142,0.155,-0.015
0.144,0.145,-0.015
0.146,0.145,-0.015
0.148,0.15,-0.015
0.15,0.14,-0.015
0.152,0.14,-0.02
0.154,0.15,-0.025
0.156,0.155,-0.025
0.158,0.17,-0.03
0.16,0.15,-0.03
0.162,0.14,-0.03
0.164,0.15,-0.025
0.166,0.155,-0.025
0.168,0.15,-0.02
0.17,0.16,-0.02
0.172,0.175,-0.015
0.174,0.17,-0.015
0.176,0.16,-0.015
0.178,0.15,-0.015
0.18,0.16,-0.015
0.182,0.16,-0.015
0.184,0.16,-0.015
0.186,0.16,-0.01
0.188,0.175,-0.01
0.19,0.19,-0.01
0.192,0.175,-0.005
0.194,0.175,-0.005
0.196,0.185,-0.005
0.198,0.185,-0.005
0.2,0.18,-0.005
0.202,0.185,0.0
0.204,0.19,0.005
0.206,0.175,0.01
0.208,0.175,0.015
0.21,0.17,0.015
0.212,0.19,0.02
0.214,0.2,0.025
0.216,0.185,0.025
0.218,0.2,0.025
0.22,0.2,0.03
0.222,0.215,0.03
0.224,0.225,0.035
0.226,0.24,0.04
0.228,0.235,0.045
0.23,0.22,0.05
0.232,0.21,0.06
0.234,0.22,0.065
0.236,0.22,0.065
0.238,0.22,0.065
0.24,0.215,0.055
0.242,0.23,0.05
0.244,0.205,0.035
0.246,0.19,0.025
0.248,0.17,0.015
0.25,0.175,0.005
0.252,0.165,0.0
0.254,0.16,0.0
0.256,0.165,0.0
0.258,0.155,0.005
0.26,0.155,0.005
0.262,0.155,0.005
0.264,0.15,0.0
0.266,0.15,-0.005
0.268,0.135,-0.01
0.27,0.145,-0.02
0.272,0.13,-0.03
0.274,0.135,-0.04
0.276,0.14,-0.045
0.278,0.125,-0.045
0.28,0.115,-0.045
0.282,0.12,-0.04
0.284,0.135,-0.035
0.286,0.14,-0.03
0.288,0.125,-0.025
0.29,0.125,-0.025
0.292,0.135,-0.025
0.294,0.135,-0.025
0.296,0.125,-0.03
0.298,0.125,-0.03
0.3,0.115,-0.035
0.302,0.12,-0.04
0.304,0.125,-0.04
0.306,0.115,-0.04
0.308,0.115,-0.04
0.31,0.12,-0.04
0.312,0.125,-0.04
0.314,0.115,-0.04
0.316,0.105,-0.04
0.318,0.11,-0.045
0.32,0.105,-0.05
0.322,0.11,-0.055
0.324,0.095,-0.06
0.326,0.105,-0.065
0.328,0.085,-0.075
0.33,0.075,-0.09
0.332,0.045,-0.11
0.334,0.0,-0.135
0.336,-0.035,-0.165
0.338,-0.07,-0.2
0.34,-0.11,-0.23
0.342,-0.12,-0.25
0.344,-0.115,-0.255
0.346,-0.08,-0.235
0.348,-0.035,-0.18
0.35,0.065,-0.095
0.352,0.21,0.02
0.354,0.36,0.16
0.356,0.5,0.32
0.358,0.665,0.485
0.36,0.81,0.64
0.362,0.95,0.78
0.364,1.095,0.89
0.366,1.23,0.96
0.368,1.205,0.995
0.37,1.145,0.985
0.372,1.07,0.94
0.374,1.02,0.865
0.376,0.905,0.77
0.378,0.83,0.665
0.38,0.715,0.55
0.382,0.555,0.445
0.384,0.44,0.345
0.386,0.37,0.265
0.388,0.335,0.195
0.39,0.3,0.145
0.392,0.255,0.11
0.394,0.23,0.08
0.396,0.195,0.06
0.398,0.165,0.04
0.4,0.125,0.02
0.402,0.115,-0.005
0.404,0.1,-0.025
0.406,0.095,-0.05
0.408,0.09,-0.065
0.41,0.08,-0.08
0.412,0.07,-0.09
0.414,0.07,-0.09
0.416,0.07,-0.09
0.418,0.07,-0.085
0.42,0.06,-0.075
0.422,0.055,-0.07
0.424,0.055,-0.065
0.426,0.05,-0.07
0.428,0.06,-0.075
0.43,0.055,-0.08
0.432,0.06,-0.09
0.434,0.05,-0.1
0.436,0.035,-0.11
0.438,0.04,-0.115
0.44,0.025,-0.125
0.442,0.04,-0.125
0.444,0.04,-0.13
0.446,0.035,-0.13
0.448,0.035,-0.125
0.45,0.04,-0.125
0.452,0.06,-0.12
0.454,0.045,-0.12
0.456,0.045,-0.115
0.458,0.05,-0.115
0.46,0.035,-0.11
0.462,0.035,-0.11
0.464,0.03,-0.11
0.466,0.04,-0.11
0.468,0.03,-0.11
0.47,0.035,-0.115
0.472,0.035,-0.115
0.474,0.025,-0.115
0.476,0.05,-0.115
0.478,0.04,-0.115
0.48,0.045,-0.115
0.482,0.045,-0.115
0.484,0.045,-0.11
0.486,0.035,-0.105
0.488,0.04,-0.105
0.49,0.045,-0.1
0.492,0.045,-0.1
0.494,0.03,-0.1
0.496,0.05,-0.105
0.498,0.04,-0.105
0.5,0.035,-0.11
0.502,0.035,-0.11
