time_sec,ECG_II,ECG_II_filtered
0.0,0.005,-0.035
0.002,-0.015,-0.03
0.004,-0.01,-0.03
0.006,0.025,-0.03
0.008,0.015,-0.035
0.01,0.005,-0.035
0.012,-0.025,-0.04
0.014,-0.015,-0.045
0.016,0.005,-0.05
0.018,-0.01,-0.05
0.02,-0.04,-0.05
0.022,0.0,-0.045
0.024,0.025,-0.04
0.026,0.0,-0.03
0.028,0.04,-0.02
0.03,0.07,-0.01
0.032,0.045,0.0
0.034,0.03,0.005
0.036,0.045,0.005
0.038,-0.005,0.0
0.04,0.0,-0.005
0.042,0.01,-0.02
0.044,-0.015,-0.03
0.046,-0.005,-0.04
0.048,-0.03,-0.045
0.05,-0.015,-0.05
0.052,0.045,-0.045
0.054,0.035,-0.04
0.056,0.015,-0.035
0.058,-0.015,-0.025
0.06,-0.01,-0.025
0.062,-0.015,-0.025
0.064,-0.02,-0.03
0.066,0.0,-0.04
0.068,0.005,-0.045
0.07,0.035,-0.055
0.072,-0.01,-0.06
0.074,0.01,-0.06
0.076,0.015,-0.055
0.078,0.03,-0.045
0.08,0.025,-0.04
0.082,0.0,-0.03
0.084,-0.045,-0.025
0.086,0.005,-0.025
0.088,0.03,-0.025
0.09,0.01,-0.035
0.092,-0.005,-0.04
0.094,0.0,-0.045
0.096,0.02,-0.05
0.098,-0.005,-0.05
0.1,-0.005,-0.05
0.102,0.01,-0.045
0.104,0.005,-0.04
0.106,0.0,-0.035
0.108,0.0,-0.03
0.11,0.02,-0.03
0.112,0.04,-0.035
0.114,0.03,-0.035
0.116,0.035,-0.04
0.118,0.05,-0.04
0.12,0.025,-0.035
0.122,0.0,-0.03
0.124,-0.02,-0.025
0.126,0.015,-0.02
0.128,-0.015,-0.02
0.13,0.0,-0.02
0.132,0.01,-0.02
0.134,0.06,-0.025
0.136,0.07,-0.03
0.138,-0.015,-0.035
0.14,0.015,-0.04
0.142,0.0,-0.04
0.144,-0.005,-0.035
0.146,-0.01,-0.03
0.148,0.035,-0.025
0.15,0.02,-0.02
0.152,0.015,-0.02
0.154,0.035,-0.025
0.156,0.01,-0.03
0.158,0.005,-0.035
0.16,0.01,-0.045
0.162,0.03,-0.05
0.164,0.04,-0.055
0.166,-0.01,-0.055
0.168,-0.02,-0.055
0.17,-0.01,-0.05
0.172,0.03,-0.04
0.174,0.045,-0.035
0.176,0.04,-0.03
0.178,0.055,-0.025
0.18,0.01,-0.025
0.182,0.005,-0.025
0.184,0.01,-0.025
0.186,0.02,-0.025
0.188,0.06,-0.025
0.19,0.035,-0.025
0.192,0.015,-0.025
0.194,0.025,-0.02
0.196,0.04,-0.02
0.198,0.05,-0.015
0.2,0.035,-0.015
0.202,0.065,-0.01
0.204,0.085,-0.005
0.206,0.055,0.0
0.208,0.055,0.005
0.21,0.065,0.01
0.212,0.045,0.015
0.214,0.07,0.02
0.216,0.07,0.02
0.218,0.08,0.02
0.22,0.095,0.015
0.222,0.08,0.01
0.224,0.08,0.005
0.226,0.055,0.005
0.228,0.055,0.0
0.23,0.05,0.0
0.232,0.045,0.0
0.234,0.05,0.005
0.236,0.045,0.005
0.238,0.07,0.0
0.24,0.085,0.0
0.242,0.07,-0.005
0.244,0.035,-0.015
0.246,0.03,-0.02
0.248,0.01,-0.03
0.25,0.015,-0.035
0.252,-0.025,-0.04
0.254,-0.015,-0.04
0.256,0.06,-0.035
0.258,0.055,-0.03
0.26,0.06,-0.03
0.262,0.05,-0.025
0.264,0.045,-0.02
0.266,0.04,-0.02
0.268,0.0,-0.025
0.27,0.01,-0.025
0.272,0.04,-0.03
0.274,0.025,-0.04
0.276,-0.005,-0.045
0.278,-0.02,-0.045
0.28,-0.01,-0.05
0.282,0.045,-0.045
0.284,0.03,-0.04
0.286,0.05,-0.03
0.288,0.055,-0.02
0.29,0.045,-0.01
0.292,0.01,0.0
0.294,0.08,0.005
0.296,0.065,0.01
